axis	prompt	arm	tps	tok	acc	meanlen
prose	p4-prose.txt	c3_base	66.95	1021	0.70000	3.10
code	c1-code.txt	c3_base	80.43	3000	0.89852	3.69
code	c2-code.txt	c3_base	78.10	3000	0.86531	3.60
code	c3-code.txt	c3_base	76.92	3000	0.83340	3.56
code	c4-code.txt	c3_base	76.29	3000	0.83515	3.50
recall	k1-recall.txt	c3_base	224.58	498	0.99174	26.26
reasoning	r1-reasoning.txt	c9_s6	60.55	3000	0.56746	2.89
reasoning	r2-reasoning.txt	c9_s6	60.16	3000	0.54891	2.90
reasoning	r3-reasoning.txt	c9_s6	63.65	3000	0.60000	3.07
reasoning	r4-reasoning.txt	c9_s6	63.25	3000	0.61517	3.01
prose	p1-prose.txt	c9_s6	80.34	2279	0.65345	4.73
prose	p2-prose.txt	c9_s6	72.70	1068	0.63819	3.86
prose	p3-prose.txt	c9_s6	83.01	1151	0.66497	4.79
prose	p4-prose.txt	c9_s6	68.50	1021	0.59951	3.55
code	c1-code.txt	c9_s6	93.88	3000	0.67367	6.44
code	c2-code.txt	c9_s6	87.75	3000	0.67430	5.39
code	c3-code.txt	c9_s6	85.87	3000	0.64613	5.40
code	c4-code.txt	c9_s6	83.25	3000	0.65495	4.88
recall	k1-recall.txt	c9_s6	230.19	498	0.97581	33.27
reasoning	r1-reasoning.txt	c9_s3	60.38	3000	0.58256	2.84
reasoning	r2-reasoning.txt	c9_s3	59.54	3000	0.56107	2.82
reasoning	r3-reasoning.txt	c9_s3	61.85	3000	0.59411	2.93
reasoning	r4-reasoning.txt	c9_s3	63.61	3000	0.62846	2.99
prose	p1-prose.txt	c9_s3	80.15	2279	0.67282	4.61
prose	p2-prose.txt	c9_s3	73.71	1068	0.70027	3.76
prose	p3-prose.txt	c9_s3	78.67	1151	0.71898	4.14
prose	p4-prose.txt	c9_s3	69.17	1021	0.65405	3.44
code	c1-code.txt	c9_s3	92.93	3000	0.68801	6.19
code	c2-code.txt	c9_s3	87.79	3000	0.69165	5.24
code	c3-code.txt	c9_s3	85.51	3000	0.66032	5.24
code	c4-code.txt	c9_s3	81.50	3000	0.66629	4.62
recall	k1-recall.txt	c9_s3	222.06	498	0.99174	26.26
